F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Target1,Target2,Target3,Target4,Target5
48.6,2.75,49.9,41.51,119.54,45.4,0.114,123.6,252,0.66,100.293,2.52,7637,34.2,1110,0.923,2.041,70.2,5.2,57.68
84,1.86,52.1,40.38,102.5,38.4,0.321,254.2,78,1.42,98.197,2.26,3198,31.5,640,0.8,1.952,65.8,4.32,30.44
31.5,2.07,85.3,17.75,179.44,33.8,0.348,215.4,251,1.72,100.319,1.81,7356,29.7,254,0.892,0.483,68.3,6.47,23.79
77.9,1.77,59.9,13.69,63.52,45.7,0.393,269.4,142,0.69,101.355,2.33,8839,17.9,975,0.851,0.842,70.3,8.32,29.47
47.5,2.24,84,37.96,120.23,30.9,0.371,128.6,378,1.17,100.375,2.95,3359,28.5,1043,0.787,1.524,64,5.79,57
36.4,1.32,91.7,24.87,50.2,30.4,0.275,225.7,225,1.87,98.544,2.44,3378,19.4,1409,0.823,0.577,65.1,7.31,23.47
71.2,1.77,85.3,25.58,52.95,37.5,0.259,149.5,379,1.76,100.118,1.57,8727,35.2,1902,0.743,0.906,59.7,6.06,37.61
65.2,2.88,92.1,11.22,129.46,30.5,0.107,394.5,260,1.31,103.367,1.63,492,16.2,864,0.798,0.714,68.5,6.81,58.63
84.8,1.52,62.8,20.36,134.52,24.6,0.179,282.2,233,1.64,97.901,3.03,3493,22,778,0.918,1.15,74.7,3.1,64.28
73.8,2.36,54.9,11.78,175.6,43.3,0.23,309.2,144,1.24,102.171,1.6,1220,23.7,724,0.738,0.691,62.4,2.33,24.92
76.9,1.67,73.2,44.42,130.64,36.8,0.292,200.9,322,0.74,95.49,1.58,299,31.2,1625,0.917,1.399,75.7,3.18,81.23
47.5,2.64,56.6,19.72,197.48,34.9,0.263,126,186,0.7,98.88,2.07,1088,30.3,307,0.929,0.968,75.7,4.39,22.29
39.8,1.21,71.2,33.21,48.41,48.5,0.315,396.3,286,0.8,99.1,2.93,4182,22.4,698,0.79,0.651,66,4.02,57.92
73.6,2.95,76.7,11.69,56.85,39.6,0.183,185.9,314,0.98,102.135,1.98,6847,25.9,1404,0.917,0.86,73.8,7.01,47.27
77.8,1.94,78.8,36.69,46.93,47.1,0.276,224,184,1.92,103.511,2.08,2937,32.5,31,0.866,1.929,66.1,5.64,63.04
87.3,1.45,55.4,23.36,67.87,27.9,0.125,293.8,193,1.72,102.201,2.49,8224,15.6,586,0.856,1.621,70.7,2.29,77.69
54,1.12,42.9,45.19,129.26,39.3,0.216,106.1,68,1.17,101.006,1.55,4344,31,1249,0.823,1.94,67.3,2.33,12.27
52.1,1.31,57.9,47.1,148.59,46.2,0.319,344.1,280,1.24,102.106,2.77,9883,34,381,0.784,1.942,64.4,2.78,142.26
76.4,2.04,40.1,23.31,47.14,39.7,0.309,259.9,183,0.87,97.268,2.29,9762,15.4,608,0.797,1.536,62.2,4.85,54.34
49.1,1.63,94,44.54,193.97,42.7,0.384,181.2,163,1.54,101.764,2.19,7686,16,985,0.922,1.927,75.2,2.02,50.65
85.4,2.74,55.3,49.24,171.86,33.8,0.186,117.9,188,1.67,97.761,2.8,8951,21.8,828,0.814,1.949,63.6,5.95,34.04
82.5,1.88,41.5,41.16,85.88,27,0.242,151.4,174,0.84,98.474,2.89,7219,16.6,209,0.784,2.002,62.6,4.89,40.23
56.6,1.49,32,44.49,52.46,34.8,0.197,360.1,253,0.57,100.772,2.19,8791,24.7,1871,0.838,1.674,66.3,6.56,129.05
74.3,2.23,75.4,20.19,66.2,34.7,0.236,302.6,110,1.43,97.492,1.74,2390,29.6,90,0.806,1.117,64.7,7.72,29.85
75,2.47,75.9,32.76,60.43,46.6,0.353,176.2,299,1.35,102.434,2.84,3392,25.9,1523,0.882,1.732,73.6,4.01,77.13
36,1.37,54.2,12.99,63.35,30.2,0.297,118.3,347,1.13,99.989,2.11,7544,19.3,144,0.776,0.528,60.9,3.27,16.56
81.8,1.31,35.3,13.77,121.23,48.8,0.364,315,62,1.42,97.392,2.89,4272,28.6,931,0.863,0.495,69.1,4.2,8.18
59.7,1.06,58.7,52.58,79.88,48.7,0.159,278,304,1.37,103.016,2.95,8588,28.3,345,0.847,1.41,68.1,2.02,98.15
80.9,2.46,51.4,22.51,93.88,30,0.371,226.7,134,0.91,99.425,1.68,8529,35.8,288,0.83,2,68.5,2.97,50.49
50,2.3,75.3,40.44,200.4,33.2,0.12,211.8,69,1.06,99.671,3.05,2944,17.6,250,0.89,2.018,75.5,7.88,26.32
84.4,1.88,70.7,41.93,147.38,46.6,0.37,168.3,99,1.16,99.543,2.07,8500,29.2,878,0.878,1.292,70.3,3.74,18.35
50.5,2.64,55.1,43.72,192.96,49.3,0.199,301,213,1.89,94.148,2.38,1550,33.6,1011,0.896,1.96,71,9.67,117.79
30.2,2.57,45.1,49.73,63.14,37,0.194,386.8,141,1.89,102.466,1.53,3285,25.4,263,0.889,1.383,76.3,3.29,67.24
85.1,2.12,97.2,19.8,101.42,33.1,0.252,151.2,137,1.8,100.048,2.88,5255,23,1945,0.889,1.458,70.5,8.55,26.28
36.7,2.76,60.5,11.63,126.32,39,0.369,270.5,118,1.6,100.263,2.45,2219,18.3,515,0.903,0.505,69.9,7.74,14.69
49.1,1.41,77.6,26.81,51.98,42,0.114,225.7,86,1.39,101.353,2.44,5815,32.4,893,0.763,0.989,61.6,4.5,14.55
87.2,1.24,40.6,15.39,40.86,32.1,0.202,232.6,302,1.54,99.364,2.82,5708,23.1,428,0.855,0.859,70,4.63,51.9
86.8,1.51,61.3,11.21,146.55,43.5,0.356,175.6,301,1.9,97.739,2.22,2120,32.4,981,0.792,0.41,68.2,6.4,17.37
62.7,1.13,31.3,23.83,146.7,27.6,0.219,365.1,189,0.88,98.11,2.13,7820,32,1506,0.719,0.606,57.7,8.95,28.35
68.4,2.07,65.6,40.06,105.81,26.2,0.158,242,217,1.24,101.705,2.76,5981,22.7,1026,0.828,2.016,67.1,5.12,89.63
55.2,2.84,100,32.6,115.99,35.2,0.232,261.9,103,1.5,99.931,2.68,3149,26.1,600,0.809,1.408,65.1,2.52,30.28
47.5,1.11,59.4,22.15,107.39,34,0.211,199.7,227,1.52,101.983,2.87,2291,16.2,493,0.773,1.016,60.6,4.96,33.63
49.8,1.25,32.5,36.81,41.7,33.6,0.371,152.4,346,0.84,102.319,2.83,8745,20.4,1500,0.775,1.139,64.9,3.73,50.93
70.4,1.88,31.9,18.87,97.33,37.7,0.326,123.2,350,1.38,101.748,2.07,8451,28.8,231,0.759,0.59,62.5,9.29,19.33
73.2,2.88,57,10.46,65.98,33.2,0.257,313,155,1.69,102.493,2.08,2243,28.2,751,0.83,0.821,66.9,7.49,33.34
76.4,1.6,41.4,40.3,56.75,29.1,0.397,156.7,186,1.19,98.567,1.79,351,21.7,292,0.829,1.661,72.5,2.39,41.4
78.4,2.01,31.6,36.18,195.94,32,0.239,313.7,239,1.67,101.187,2.52,8044,30.7,498,0.827,1.261,65.3,4.41,74.8
35.5,1.13,83.1,42.2,132.82,48.8,0.12,217.8,177,1.02,99.019,2.05,6074,19.8,305,0.798,0.989,60.3,2.38,29.37
58.8,1.25,60.4,11.29,158.34,35.1,0.177,219.8,391,1.89,97.777,2.57,1010,24.4,1790,0.802,0.67,68,8.47,46.7
32.7,2.94,48.6,41.58,89.21,36.2,0.235,242.3,96,1.31,100.885,1.69,5937,24.7,1461,0.91,1.714,75.6,9.25,37.39
64,2.92,94.3,34.38,102.56,38.9,0.148,211.1,54,1.41,101.503,1.66,4523,22.1,1167,0.958,1.712,78.3,3.04,18.05
56.5,1,38,32.51,78.64,47.6,0.394,126.6,306,0.56,99.304,1.75,7916,34.4,444,0.716,0.997,57.1,5.41,27.78
81.4,2.87,98.5,34.96,55.46,31.7,0.328,194.6,349,0.75,100.063,1.65,2051,30.2,1014,0.953,1.262,76.8,9.69,80.76
50.9,2.36,52.2,44.5,67.27,42.4,0.179,302.1,199,1.46,101.359,2.5,4479,26.3,1041,0.807,1.271,66.8,3.16,63.51
36.4,2.71,89.5,34.02,168.98,43,0.278,291.7,343,1.1,98.77,1.79,1609,24.7,1182,0.935,1.942,77.8,4.34,186.25
38.8,1.92,74.4,32.97,147.79,41.2,0.316,181.4,292,1.27,101.615,1.75,9435,18.2,120,0.935,1.751,72.5,4.38,89.83
77.6,2.01,87.9,49.84,127.23,26.8,0.388,236.4,324,0.59,98.179,1.52,8169,21.9,1939,0.889,1.819,74.8,2.27,124.63
65.6,1.99,97.4,40.79,115.89,41.8,0.363,156.1,257,1.77,100.807,2.77,7510,28.5,907,0.829,2.077,68.2,2.34,69.18
36.2,2.38,49.7,27.81,182.54,26.7,0.249,165.1,164,1.67,97.556,2.73,6789,32.5,1879,0.941,1.569,75.4,9.91,38.92
35.1,1.28,94.9,38.81,50.48,39.6,0.341,106,244,0.77,102.65,1.73,4283,31.2,20,0.868,0.718,69.8,6.61,15.77
69,1.05,57.6,24.7,83.9,42.8,0.279,367.7,392,1.43,101.343,2.58,9288,21,490,0.767,0.679,61.6,4.39,73.08
34.9,1.61,56.9,19.2,96.78,30.8,0.257,159.8,219,1.76,103.994,2.17,708,23,208,0.896,0.845,77.2,5.21,28.35
82.6,2.44,56,34.03,162.12,46.3,0.136,171.5,131,1.44,98.106,1.8,8281,16.7,1587,0.736,1.971,61.2,7.65,32.27
72.6,1.43,68.6,46.97,203.53,26.1,0.14,181.1,203,1,101.307,2.49,2188,16.9,631,0.857,1.373,67.7,4.86,42.75
35.8,2.36,42.4,46.6,78.82,45.3,0.26,135.4,190,1.45,99.924,1.72,3336,23.9,1688,0.884,1.616,71.8,3.84,37.33
34.2,2.94,67.4,23.89,181.2,37.1,0.186,292.1,363,0.83,97.036,2.59,5303,26.1,1668,0.879,0.564,72,2.76,53.2
87.9,1.22,67.5,31.18,171.75,30.1,0.103,125.2,195,0.93,100.192,1.58,7881,20.1,1378,0.807,1.387,65.1,7.75,25.8
52.5,2.32,84.8,18.45,73.52,28.5,0.313,141.5,372,0.86,101.093,3.04,8566,28.5,1381,0.772,1.124,60.2,3.49,44.29
51.3,1.87,89.4,49.5,105,50.8,0.11,290.1,171,1.32,103.912,1.6,5681,29.2,1423,0.798,2.088,69.2,2.7,81.6
78.8,2.83,60.8,48.96,104.02,27.3,0.284,200.3,301,0.67,98.981,2.32,4190,20.8,1443,0.882,1.963,69.5,5.48,109.5
88.6,1.35,50.1,35.43,190.65,30.2,0.268,304,392,1.93,100.939,2.91,9606,29.6,774,0.727,1.452,57.7,2.37,128.05
87.6,2.42,46.1,41.78,67.79,34.6,0.381,277.5,360,1.04,100.584,1.5,2369,18.7,1244,0.862,1.909,70.5,9.62,153.6
76.8,2.63,43.4,37.88,167.6,40,0.237,182.3,138,0.82,99.628,2.17,7791,26,1776,0.85,1.286,69.5,7.06,25.66
50.6,2.95,33.9,33.47,89.02,39,0.121,297,107,1.23,99.751,2.05,6156,31.3,659,0.829,1.966,67.2,3.1,52.1
34.6,2.31,54.1,12.22,155.88,27.7,0.266,134.8,112,0.93,101.476,2.36,3702,25.3,1948,0.84,0.526,70.2,3.29,6.58
76.3,1.95,47.5,28.65,109.36,32,0.353,255,396,1.3,99.769,1.83,14,32.4,27,0.868,1.125,72.9,6.58,106.31
62.3,2.28,95.9,36.95,132.62,32,0.405,230.5,357,1.01,99.501,1.62,4378,16.4,717,0.793,1.802,65,4.89,116.71
54.8,2.72,69.6,37.04,177.37,30.5,0.225,183.6,329,0.69,98.98,2.48,2697,27.2,268,0.905,1.995,73.2,8.33,110.06
86.7,2.13,54.9,25,167.31,36.3,0.195,285.3,121,0.89,96.97,2.09,1032,25.8,255,0.873,1.565,73,6.34,46.58
37.6,1.07,70.9,48.61,182.75,42.5,0.376,358.1,58,1.12,101.818,2.44,801,28.1,1644,0.783,0.999,64.6,5.63,17.02
60.4,2.85,39.5,16.62,48.21,31.2,0.154,406.1,143,0.56,98.927,1.76,3399,32,1847,0.839,0.721,67.9,9.81,34.77
31.3,2.33,59.6,30.29,152.54,34.2,0.282,288.9,388,1.67,102.439,2,6302,28.9,1591,0.795,0.788,63.1,4.94,68.23
57.4,2.33,75.2,37.91,62.26,34.9,0.222,221.6,385,1.39,102.492,2.3,8248,30.3,1943,0.75,2.075,61.1,5.02,130.71
32.6,1.4,65.2,37.41,109.42,49.4,0.114,170.9,201,1.44,104.788,2.38,1832,21.1,429,0.822,1.235,66.3,7.35,32.81
36.5,2.37,57.5,36.45,126.72,49.2,0.198,183,89,1.32,100.865,2.04,4257,22.3,284,0.953,1.664,79.6,8.44,26.41
36.6,1.83,101.2,20.14,102.24,44.8,0.182,253.2,111,1.38,101.104,1.91,3915,27.6,1045,0.94,0.978,74.7,7.04,24.64
68.1,2.26,91.5,16.59,124.39,30.2,0.308,207.7,303,1.92,101.197,1.85,5140,26.1,1651,0.803,1.332,64.6,7.54,68.19
75.6,1.22,72.6,34.59,206.01,26.7,0.378,377.5,118,0.51,100.492,1.72,8151,33.4,83,0.779,1.109,65.6,4.92,39.81
65.4,2.3,71.2,33.88,61.93,33,0.189,213.4,294,0.56,102.331,1.98,5371,19.1,2020,0.829,1.257,67.4,5.75,64.58
87.4,3.09,73.6,17.46,147.95,32.7,0.337,212,219,0.78,99.805,1.85,8444,21.3,1191,0.857,1.251,69.3,3.57,50.54
52.4,1.15,43.7,37.88,100.85,35.9,0.118,220.4,227,0.75,101.08,2.49,5180,26.6,1981,0.838,0.654,69.1,7.57,27.67
48.2,3,56.2,28.34,62.44,45.9,0.263,351.4,238,0.76,99.745,2.37,6106,32.1,716,0.854,1.82,70.5,3.69,131.26
80,1.8,32,37.33,65.33,47.4,0.12,294.3,309,1.52,97.371,2.05,4349,33.7,895,0.846,2.036,68.8,2,159.92
44.1,2.68,64.4,45.1,194.57,46.8,0.381,276.8,121,1.22,101.455,1.95,8318,21.6,1529,0.885,2.043,73,9.74,60.72
84.1,2.58,68.6,16.78,181.45,34.1,0.333,193.5,66,1.97,94.46,1.88,9118,16,1558,0.883,0.871,69.4,4.29,10.04
30.4,2.13,44.9,10.8,192.68,41.3,0.314,343,390,0.8,101.053,2.25,6321,23.3,466,0.909,0.233,76.4,3.62,28.25
90.9,2.41,95.2,41.2,196.43,34.1,0.337,105,106,0.96,102.124,2.97,8259,23.1,1821,0.755,1.972,62.1,4.13,18.16
32.8,2.76,97.6,34.24,72.57,27.2,0.278,370.2,267,1.94,101.146,2.53,578,34.6,1725,0.882,1.881,72.1,4.57,153.79
82.7,1.88,81.3,36.96,98.83,42.8,0.383,258.3,156,1.74,98.381,2.72,8959,23.4,36,0.865,1.756,73.5,5.73,62.81
62.8,1.68,69,42.55,150.13,25.4,0.314,222.5,353,1.2,103.042,2.85,1871,20.3,257,0.965,1.016,75.1,2.61,74.23
90.6,2.28,93.6,42.1,119.92,35.2,0.382,254.7,222,1.31,103.604,2.04,2543,21.9,1038,0.845,1.981,69.9,2.42,91.76
34.8,2.61,38.4,48.77,106.92,33.6,0.256,298.6,268,1.72,101.314,1.61,534,22.6,946,0.916,1.961,76.8,4.25,147.33
63,2.54,88.3,32.23,97.65,42.3,0.135,104.3,296,1.22,103.662,2.4,9482,32,1414,0.743,1.977,59.4,4.29,45.27
89.9,2.62,37.9,29.42,131.37,44.4,0.266,358.8,267,0.8,104.211,1.83,8627,16.5,179,0.696,1.986,58,2.91,135.87
60.6,1.81,86.8,26.87,131.67,32.9,0.136,239.2,80,1.8,98.703,2.34,9082,21.5,1272,0.751,1.575,60.4,5.33,20.95
66.8,2.63,49.2,15.76,66.2,47.5,0.287,192.5,96,1.31,98.176,2.52,8541,33.8,1207,0.751,0.97,63.9,4.23,15.37
74.4,1.25,92.7,33.04,116.12,31.8,0.248,144.6,183,0.72,101.469,2.74,4678,17.3,466,0.868,0.887,70.9,2.21,19.57
56.7,2.08,95.7,20.97,126.61,36.3,0.295,223.4,157,1.25,93.683,1.97,8713,30.4,1114,0.761,0.827,64,8.96,23.78
64.9,0.97,40.9,45.62,128.36,44.2,0.101,247.9,121,1.12,99.542,2.25,9878,21.8,416,0.807,1.866,67.9,9.02,46.63
66.4,1.64,64.1,32.2,75.15,43,0.157,216.5,376,1.82,98.661,2.44,5047,27.1,300,0.943,2.042,76.4,3.66,156.39
86.4,1.76,100.9,33.42,161.58,50.4,0.24,302.8,157,0.7,99.582,2.73,1775,16.9,1173,0.924,1.433,76.5,3.24,59.64
32.6,1.77,63.8,24.02,43.83,32.5,0.387,223.8,358,1.85,97.537,2.72,6760,21.7,1872,0.888,0.484,70.2,6.28,33.99
44.9,2.37,88.7,11.87,98.77,42.5,0.216,385.4,321,1.27,99.666,2.92,9571,26.6,474,0.894,0.565,72.9,6.97,61.98
86.9,1.83,70.8,11.44,167.93,39.7,0.236,282.8,220,1.12,101.209,1.56,8406,19.8,704,0.849,0.422,68.9,9.95,22.24
86.9,1.89,56.8,26.71,125.85,47.2,0.315,343.8,165,0.75,103.436,2.21,8787,25.1,511,0.764,1.721,61.3,5.02,73.78
57.6,1.48,50.7,13.12,81.62,28.9,0.273,135.5,378,1.55,100.919,1.86,9460,19.6,535,0.708,0.399,55.4,6.82,13.49
68.2,1.68,45.2,34.11,155.24,43.4,0.193,221,123,1.88,96.437,1.69,9137,28.2,814,0.827,1.203,67.4,9.18,27.46
47.4,1.42,82.1,44.67,126.62,39.3,0.219,194.7,305,1.07,100.104,2.9,8020,32.3,1365,0.845,1.393,69.6,5.7,69.11
42.1,1.2,56,46.81,162.54,32.1,0.161,283.6,130,0.85,102.812,3.18,7014,16.5,80,0.889,1.431,71.3,2.92,45.76
60,2.28,64.4,36.13,159.58,37.1,0.395,344.1,317,1.3,99.577,1.74,2697,19.2,1896,0.791,1.824,64.8,5.18,170.5
52.3,2.36,64.2,18.11,141.17,31.7,0.137,124.3,177,1.74,101.354,1.5,6182,32.1,97,0.879,0.629,72.1,3.12,12.27
64.9,2.14,70.7,45.98,117.45,38.9,0.209,123.6,375,0.51,102.419,1.84,5316,27.1,1729,0.765,1.93,63.5,2.15,70.69
33.9,1.88,91.3,46.1,60.73,47.9,0.111,357.2,284,1.45,100.338,2.76,8936,16.2,1751,0.879,0.932,71.7,8.07,87.22
89.2,1.71,95.9,17.9,79.03,40.5,0.168,163.2,90,1.39,100.716,1.98,4920,24.1,1056,0.745,0.56,61.9,3.93,6.21
88.8,2.65,57.4,38.87,106.42,40.5,0.338,309.6,230,0.99,101.163,1.56,1258,18.5,279,0.912,1.967,74.8,2.01,127.27
72.9,2.02,86.7,21.79,131.89,37.7,0.156,268.8,206,1.17,99.143,1.57,48,19.2,1159,0.957,0.722,76.9,9.1,35.95
61.1,1.99,86.5,40.87,121.33,26.2,0.126,349.7,108,0.84,99.55,2.12,6473,33.9,1232,0.877,2.001,75.8,5.51,67.86
48.3,1.04,69.6,50.58,88.37,31.9,0.241,136.3,394,1.67,98.229,2.83,5659,30.7,1704,0.902,1.986,70,4.03,94.27
78.8,1.67,94.1,11.26,39.97,37.3,0.102,136.7,298,1.47,98.994,1.95,3410,28.5,1143,0.758,0.684,63.1,3.94,21.67
69.7,1.75,44.4,46.8,118.8,31.3,0.126,263.1,241,1.28,101.586,2.07,1724,19.5,815,0.803,1.997,65.3,3.85,105.57
39.8,1.83,37.6,33.26,87.18,30.6,0.342,383.5,73,1.05,101.039,1.67,4639,17.5,1706,0.83,1.355,69,3.58,32.47
86,2.2,87.7,48.03,155.09,38.1,0.322,217.1,129,0.93,97.726,2.22,1019,33,1888,0.793,1.951,61.9,8.72,47.3
82.4,2.07,60.2,28.03,44.19,32.2,0.382,198.1,183,1.67,98.09,2.59,3382,15.4,1249,0.845,1.524,68.6,3.33,47.71
85.7,2.27,88.7,42.91,135.74,31.1,0.364,286.5,262,1.17,98.816,1.91,3704,22.3,1783,0.734,2.015,62.2,6.52,109.73
74.9,2.51,92.3,12.6,190.93,36,0.301,374.9,397,1.28,97.154,1.88,4763,20.9,1194,0.909,1.109,73.2,2.55,150.68
64.2,2.72,35,23.27,68.04,28.2,0.117,350.9,215,1.25,100.495,2.78,4714,27.2,1400,0.734,1.023,60.5,9.4,53.97
55.1,2.41,92.9,12.46,112.93,49.6,0.341,401.1,397,1.19,98.73,1.5,2608,20.2,1359,0.971,0.607,78.6,6.81,91.8
86.1,2.8,61.5,47.93,54.19,44.9,0.34,107.8,386,0.91,101.002,2.51,8558,21.7,1363,0.767,1.944,62.6,9.3,65.4
83.3,1.01,67,41.86,140.56,42.4,0.336,133.3,120,0.7,102,2.12,3565,32.3,643,0.842,2.016,67.5,5.11,27.5
32.4,1.35,73.3,44.87,123.21,27.7,0.242,292.8,263,0.64,96.624,1.99,2312,26.5,1119,0.915,1.842,73.2,8.18,123.44
31.7,1,93.5,47.46,100.45,44.3,0.172,346.2,114,1.61,98.73,2.47,1748,18.2,1191,0.867,1.297,69.4,8.87,44.75
53.8,2.35,31.5,13.63,123.04,44.5,0.357,180.6,270,0.84,96.891,2.7,3265,29.8,618,0.857,0.525,73.2,7.7,22.53
76.9,2.77,63.7,26.78,184.84,45.2,0.314,170.4,357,0.59,96.298,2.34,702,18.8,709,0.759,2.049,63.3,2.68,96.28
85.7,1.45,75.8,12.84,71.53,27.8,0.393,344.8,335,1.73,101.086,1.57,332,23.4,1516,0.765,0.528,64,2.11,45.9
39.9,2.77,83,17.91,42.2,40.9,0.146,119.8,234,0.73,100.376,2.15,6187,28.2,1158,0.764,0.559,63.9,3.41,11.5
64.3,1.12,76.9,19.12,181.79,46.2,0.161,203.6,256,1.45,98.836,2.21,6045,21.4,300,0.722,0.865,60.7,2.88,35.18
53.3,2.96,39.8,29.85,132.61,39.2,0.168,250.2,148,0.99,98.07,2.33,5382,23.5,1706,0.756,1.732,62.9,7.8,49.48
91.6,1.71,51.5,21.19,186.05,40.7,0.339,265.3,291,0.7,97.789,2.58,7701,28.5,1773,0.67,1.54,55.9,6.37,85.31
81.9,1.23,51.7,13.86,133.78,35.8,0.156,323.5,207,1.09,100.321,1.5,400,33.8,966,0.791,0.924,64.7,6.48,45.55
78.7,1.99,86.7,16.6,170.52,39.9,0.12,201.8,147,0.52,99.5,2.28,9280,26.3,432,0.815,1.272,63,3.92,30.67
56.4,1.47,51.1,16.14,109.88,26.3,0.405,292.7,91,1.78,98.183,2.36,969,15.1,1869,0.834,0.362,67,3.12,7.44
54,1.59,44.1,49.39,163.19,40.7,0.104,267.5,188,1.3,100.801,1.98,6643,21.5,1725,0.723,1.987,58.6,3.7,76.2
46.6,1.58,93.3,41.01,189.51,27.7,0.344,263.5,332,0.72,100.551,2.6,1364,22.7,477,0.835,1.942,67.6,5.17,135.77
33.2,2.58,30.5,48.48,129.43,36.3,0.211,285.1,276,0.85,98.034,1.86,9012,22.2,198,0.822,2.009,65,7.76,133.41
84.1,2.05,100.8,27.8,68.77,32.3,0.36,180.2,121,1.17,99.008,2.04,4994,23.9,860,0.898,1.418,74,4,28.01
79.8,1.62,77.2,21.01,82.14,37.8,0.254,120.2,292,0.77,101.708,2.9,829,27.9,1342,0.825,0.741,66.9,7.82,21.01
88.7,2.21,86.3,43.1,71.99,27.9,0.378,135.3,67,0.9,101.451,2.09,6140,17.4,351,0.704,1.9,58.3,5.93,13.27
91.3,2.41,49.6,22.35,77.21,43.1,0.373,166.7,126,1.25,98.679,2,92,21.2,1063,0.884,1.261,70.2,9.35,23.81
65.2,1.54,30,21.31,86.2,45.6,0.102,245.6,94,1.81,103.318,2.43,7766,25,829,0.874,1.03,69.1,3.77,20.25
75.7,1.84,78.6,19.02,134.97,28.3,0.123,360.7,392,1.15,99.615,2.9,6477,21.7,1820,0.848,0.884,70.3,5.73,106.86
87.5,1.24,87.8,14.98,139.27,27.4,0.171,321,189,1.51,101.572,2.91,2102,33.4,859,0.824,0.65,68.4,2.72,31.47
79.6,1.36,82.5,19.64,110.76,29,0.293,334,226,1.76,97.886,2.37,3856,23.6,1065,0.852,1.144,72.7,4.8,77.55
44.7,2.46,40.1,23.39,139.81,48,0.368,205.8,271,0.85,99.691,1.55,77,32.1,1910,0.889,0.883,72.3,6.19,43.55
56,1.39,83.2,37.75,53.87,38.6,0.247,218.7,141,1.68,98.152,2.92,6861,33,591,0.742,1.68,61.3,7.71,38.64
38.7,2.03,84.9,12.46,54.89,36.3,0.277,212.6,71,1.68,96.656,2.36,3146,30.7,573,0.857,0.234,68.1,3.61,3.22
86.4,2.42,78.1,18.33,69.73,27.8,0.154,154,221,1.05,99.909,2.04,5814,16.5,1576,0.858,1.012,69.6,3.76,31.02
67,1.21,83.7,42.41,121.68,41.1,0.333,115.8,141,1.97,99.303,2.76,9766,34.1,541,0.71,1.339,59,7.18,15.77
44.3,2.14,89.8,16.38,73.11,47.1,0.388,284.2,241,0.91,102.104,2.06,3018,18.4,1625,0.867,0.795,72.7,4.95,48.78
74.7,1.51,73.5,23.76,85.3,47.1,0.177,400.2,126,0.88,98.809,1.56,9750,15.9,196,0.842,0.856,73.8,5.81,37.14
66.7,2.93,36.3,44.49,105.29,40,0.244,147.2,330,1.66,100.502,2.73,6112,23.4,221,0.81,1.962,66.8,8.7,79.97
50.7,1.96,64.2,15.99,169.03,27,0.126,112,228,1.16,99.164,2.32,2448,18.9,1827,0.851,0.816,67.3,6.17,18.55
36.8,2.58,35.5,13.47,41.75,27.8,0.26,327.2,287,1.01,98.039,2.03,4446,18.9,1078,0.78,0.628,61.9,7.23,48.5
69.1,2.08,60.4,29.34,148.04,26.1,0.259,169.2,184,0.78,101.608,1.91,7329,21.1,1432,0.717,1.723,58.7,7.11,38.42
60.6,1.05,60.2,22.83,144.56,31.3,0.14,352.5,329,1.73,98.727,2.28,4471,20.2,450,0.89,0.684,71,8.48,72.52
77.4,2.3,33.4,32.43,172.71,29.1,0.238,310.4,68,1.69,99.128,1.78,664,30,337,0.922,1.631,73.7,6.96,32.38
60.4,2.93,54.7,43,192.89,31.9,0.208,396.8,132,1.38,97.621,1.96,1659,19.2,1647,0.925,2.05,78.4,2.43,95.16
82,2.29,37.8,15.27,44.87,34.3,0.263,213.4,277,1.98,96.577,2.45,7974,25.5,715,0.744,0.51,56,4.72,23.36
63.9,2.58,88.8,32.75,67.43,49.2,0.282,303.7,314,0.99,100.874,2.82,6470,34.2,927,0.797,1.973,63.3,9.97,148.62
64,2.75,96.3,29.12,183.13,39.8,0.104,243.9,161,0.82,99.792,2.33,5720,23.9,57,0.872,2.05,66.8,3.59,67.21
83.7,1.49,35.2,16.01,118.08,44.2,0.33,295.4,300,1.55,101.816,2.66,1714,27.9,795,0.831,0.657,67.6,6.7,48.7
53.9,1.43,95.6,34.93,131.65,40.8,0.321,236,213,1.65,101.006,2.71,8169,34.6,1511,0.734,1.35,58.2,9.06,49.72
36.5,2.29,67.7,21.21,147.24,28.1,0.209,159.5,217,0.82,97.496,2.48,9647,17.2,1622,0.748,1.177,61.9,6.9,29.44
31.8,1.88,49.7,30.51,149.23,43.2,0.118,253.9,270,0.63,99.981,1.84,403,23.8,1392,0.928,0.752,75.3,4.9,46.77
75.4,2.55,35.2,13.07,187.44,32.5,0.334,254.7,353,1.66,99.881,2.79,778,31.8,1348,0.8,1.039,64.5,2.69,76.63
66.7,2.81,63.7,27.82,202.54,41.3,0.39,340.4,240,1.99,102,2.16,8899,35.1,1030,0.8,0.978,63.2,5.11,63.67
73.2,1.72,85.1,21.91,158.8,33.7,0.171,317.9,374,1.45,102.417,1.57,7949,27.2,1083,0.89,1.075,71.4,3.58,118.59
43.4,1.47,78.6,41.09,83.55,49.5,0.199,306.1,219,0.92,96.522,1.86,6099,17.8,1481,0.859,1.969,71.9,9.88,114.92
38.3,2.54,34.1,12.23,190.01,31.9,0.154,137.4,94,1.94,102.186,2.71,9371,33.4,505,0.871,0.525,69.9,7.7,5.87
